ICAO,IATA,Airport Name,Country,Latitude,Longitude,Support
OMDB,DXB,Dubai International,UAE,25.2532,55.3657,both
KDFW,DFW,Dallas/Fort Worth Intl,USA,32.8998,-97.0403,unknown
RJTT,HND,Tokyo Haneda,Japan,35.5494,139.7798,fuel_only
EGLL,LHR,London Heathrow,UK,51.47,-0.4543,both
KDEN,DEN,Denver International,USA,39.8561,-104.6737,unknown
KORD,ORD,Chicago O'Hare Intl,USA,41.9742,-87.9073,unknown
LTFM,IST,Istanbul Airport,Turkey,40.976,28.8146,both
ZSPD,PVG,Shanghai Pudong Intl,China,31.1443,121.8083,unknown
VIDP,DEL,Indira Gandhi Intl,India,28.5562,77.1,unknown
KATL,ATL,Hartsfield–Jackson Atlanta Intl,USA,33.6407,-84.4277,both
OMDB,DXB,Dubai International,UAE,25.2532,55.3657,both
KDFW,DFW,Dallas/Fort Worth Intl,USA,32.8998,-97.0403,unknown
RJTT,HND,Tokyo Haneda,Japan,35.5494,139.7798,fuel_only
EGLL,LHR,London Heathrow,UK,51.47,-0.4543,both
KDEN,DEN,Denver International,USA,39.8561,-104.6737,unknown
KORD,ORD,Chicago O'Hare Intl,USA,41.9742,-87.9073,unknown
LTFM,IST,Istanbul Airport,Turkey,40.976,28.8146,both
ZSPD,PVG,Shanghai Pudong Intl,China,31.1443,121.8083,unknown
VIDP,DEL,Indira Gandhi Intl,India,28.5562,77.1,unknown
KATL,ATL,Hartsfield–Jackson Atlanta Intl,USA,33.6407,-84.4277,both
OMDB,DXB,Dubai International,UAE,25.2532,55.3657,both
KDFW,DFW,Dallas/Fort Worth Intl,USA,32.8998,-97.0403,unknown
RJTT,HND,Tokyo Haneda,Japan,35.5494,139.7798,fuel_only
EGLL,LHR,London Heathrow,UK,51.47,-0.4543,both
KDEN,DEN,Denver International,USA,39.8561,-104.6737,unknown
KORD,ORD,Chicago O'Hare Intl,USA,41.9742,-87.9073,unknown
LTFM,IST,Istanbul Airport,Turkey,40.976,28.8146,both
ZSPD,PVG,Shanghai Pudong Intl,China,31.1443,121.8083,unknown
VIDP,DEL,Indira Gandhi Intl,India,28.5562,77.1,unknown
KATL,ATL,Hartsfield–Jackson Atlanta Intl,USA,33.6407,-84.4277,both
OMDB,DXB,Dubai International,UAE,25.2532,55.3657,both
KDFW,DFW,Dallas/Fort Worth Intl,USA,32.8998,-97.0403,unknown
RJTT,HND,Tokyo Haneda,Japan,35.5494,139.7798,fuel_only
EGLL,LHR,London Heathrow,UK,51.47,-0.4543,both
KDEN,DEN,Denver International,USA,39.8561,-104.6737,unknown
KORD,ORD,Chicago O'Hare Intl,USA,41.9742,-87.9073,unknown
LTFM,IST,Istanbul Airport,Turkey,40.976,28.8146,both
ZSPD,PVG,Shanghai Pudong Intl,China,31.1443,121.8083,unknown
VIDP,DEL,Indira Gandhi Intl,India,28.5562,77.1,unknown
KATL,ATL,Hartsfield–Jackson Atlanta Intl,USA,33.6407,-84.4277,both
OMDB,DXB,Dubai International,UAE,25.2532,55.3657,both
KDFW,DFW,Dallas/Fort Worth Intl,USA,32.8998,-97.0403,unknown
RJTT,HND,Tokyo Haneda,Japan,35.5494,139.7798,fuel_only
EGLL,LHR,London Heathrow,UK,51.47,-0.4543,both
KDEN,DEN,Denver International,USA,39.8561,-104.6737,unknown
KORD,ORD,Chicago O'Hare Intl,USA,41.9742,-87.9073,unknown
LTFM,IST,Istanbul Airport,Turkey,40.976,28.8146,both
ZSPD,PVG,Shanghai Pudong Intl,China,31.1443,121.8083,unknown
VIDP,DEL,Indira Gandhi Intl,India,28.5562,77.1,unknown
KATL,ATL,Hartsfield–Jackson Atlanta Intl,USA,33.6407,-84.4277,both
OMDB,DXB,Dubai International,UAE,25.2532,55.3657,both
KDFW,DFW,Dallas/Fort Worth Intl,USA,32.8998,-97.0403,unknown
RJTT,HND,Tokyo Haneda,Japan,35.5494,139.7798,fuel_only
EGLL,LHR,London Heathrow,UK,51.47,-0.4543,both
KDEN,DEN,Denver International,USA,39.8561,-104.6737,unknown
KORD,ORD,Chicago O'Hare Intl,USA,41.9742,-87.9073,unknown
LTFM,IST,Istanbul Airport,Turkey,40.976,28.8146,both
ZSPD,PVG,Shanghai Pudong Intl,China,31.1443,121.8083,unknown
VIDP,DEL,Indira Gandhi Intl,India,28.5562,77.1,unknown
KATL,ATL,Hartsfield–Jackson Atlanta Intl,USA,33.6407,-84.4277,both
OMDB,DXB,Dubai International,UAE,25.2532,55.3657,both
KDFW,DFW,Dallas/Fort Worth Intl,USA,32.8998,-97.0403,unknown
RJTT,HND,Tokyo Haneda,Japan,35.5494,139.7798,fuel_only
EGLL,LHR,London Heathrow,UK,51.47,-0.4543,both
KDEN,DEN,Denver International,USA,39.8561,-104.6737,unknown
KORD,ORD,Chicago O'Hare Intl,USA,41.9742,-87.9073,unknown
LTFM,IST,Istanbul Airport,Turkey,40.976,28.8146,both
ZSPD,PVG,Shanghai Pudong Intl,China,31.1443,121.8083,unknown
VIDP,DEL,Indira Gandhi Intl,India,28.5562,77.1,unknown
KATL,ATL,Hartsfield–Jackson Atlanta Intl,USA,33.6407,-84.4277,both
OMDB,DXB,Dubai International,UAE,25.2532,55.3657,both
KDFW,DFW,Dallas/Fort Worth Intl,USA,32.8998,-97.0403,unknown
RJTT,HND,Tokyo Haneda,Japan,35.5494,139.7798,fuel_only
EGLL,LHR,London Heathrow,UK,51.47,-0.4543,both
KDEN,DEN,Denver International,USA,39.8561,-104.6737,unknown
KORD,ORD,Chicago O'Hare Intl,USA,41.9742,-87.9073,unknown
LTFM,IST,Istanbul Airport,Turkey,40.976,28.8146,both
ZSPD,PVG,Shanghai Pudong Intl,China,31.1443,121.8083,unknown
VIDP,DEL,Indira Gandhi Intl,India,28.5562,77.1,unknown
KATL,ATL,Hartsfield–Jackson Atlanta Intl,USA,33.6407,-84.4277,both
OMDB,DXB,Dubai International,UAE,25.2532,55.3657,both
KDFW,DFW,Dallas/Fort Worth Intl,USA,32.8998,-97.0403,unknown
RJTT,HND,Tokyo Haneda,Japan,35.5494,139.7798,fuel_only
EGLL,LHR,London Heathrow,UK,51.47,-0.4543,both
KDEN,DEN,Denver International,USA,39.8561,-104.6737,unknown
KORD,ORD,Chicago O'Hare Intl,USA,41.9742,-87.9073,unknown
LTFM,IST,Istanbul Airport,Turkey,40.976,28.8146,both
ZSPD,PVG,Shanghai Pudong Intl,China,31.1443,121.8083,unknown
VIDP,DEL,Indira Gandhi Intl,India,28.5562,77.1,unknown
KATL,ATL,Hartsfield–Jackson Atlanta Intl,USA,33.6407,-84.4277,both
OMDB,DXB,Dubai International,UAE,25.2532,55.3657,both
KDFW,DFW,Dallas/Fort Worth Intl,USA,32.8998,-97.0403,unknown
RJTT,HND,Tokyo Haneda,Japan,35.5494,139.7798,fuel_only
EGLL,LHR,London Heathrow,UK,51.47,-0.4543,both
KDEN,DEN,Denver International,USA,39.8561,-104.6737,unknown
KORD,ORD,Chicago O'Hare Intl,USA,41.9742,-87.9073,unknown
LTFM,IST,Istanbul Airport,Turkey,40.976,28.8146,both
ZSPD,PVG,Shanghai Pudong Intl,China,31.1443,121.8083,unknown
VIDP,DEL,Indira Gandhi Intl,India,28.5562,77.1,unknown
KATL,ATL,Hartsfield–Jackson Atlanta Intl,USA,33.6407,-84.4277,both
OMDB,DXB,Dubai International,UAE,25.2532,55.3657,both
KDFW,DFW,Dallas/Fort Worth Intl,USA,32.8998,-97.0403,unknown
RJTT,HND,Tokyo Haneda,Japan,35.5494,139.7798,fuel_only
EGLL,LHR,London Heathrow,UK,51.47,-0.4543,both
KDEN,DEN,Denver International,USA,39.8561,-104.6737,unknown
KORD,ORD,Chicago O'Hare Intl,USA,41.9742,-87.9073,unknown
LTFM,IST,Istanbul Airport,Turkey,40.976,28.8146,both
ZSPD,PVG,Shanghai Pudong Intl,China,31.1443,121.8083,unknown
VIDP,DEL,Indira Gandhi Intl,India,28.5562,77.1,unknown
KATL,ATL,Hartsfield–Jackson Atlanta Intl,USA,33.6407,-84.4277,both
OMDB,DXB,Dubai International,UAE,25.2532,55.3657,both
KDFW,DFW,Dallas/Fort Worth Intl,USA,32.8998,-97.0403,unknown
RJTT,HND,Tokyo Haneda,Japan,35.5494,139.7798,fuel_only
EGLL,LHR,London Heathrow,UK,51.47,-0.4543,both
KDEN,DEN,Denver International,USA,39.8561,-104.6737,unknown
KORD,ORD,Chicago O'Hare Intl,USA,41.9742,-87.9073,unknown
LTFM,IST,Istanbul Airport,Turkey,40.976,28.8146,both
ZSPD,PVG,Shanghai Pudong Intl,China,31.1443,121.8083,unknown
VIDP,DEL,Indira Gandhi Intl,India,28.5562,77.1,unknown
KATL,ATL,Hartsfield–Jackson Atlanta Intl,USA,33.6407,-84.4277,both
OMDB,DXB,Dubai International,UAE,25.2532,55.3657,both
KDFW,DFW,Dallas/Fort Worth Intl,USA,32.8998,-97.0403,unknown
RJTT,HND,Tokyo Haneda,Japan,35.5494,139.7798,fuel_only
EGLL,LHR,London Heathrow,UK,51.47,-0.4543,both
KDEN,DEN,Denver International,USA,39.8561,-104.6737,unknown
KORD,ORD,Chicago O'Hare Intl,USA,41.9742,-87.9073,unknown
LTFM,IST,Istanbul Airport,Turkey,40.976,28.8146,both
ZSPD,PVG,Shanghai Pudong Intl,China,31.1443,121.8083,unknown
VIDP,DEL,Indira Gandhi Intl,India,28.5562,77.1,unknown
KATL,ATL,Hartsfield–Jackson Atlanta Intl,USA,33.6407,-84.4277,both
OMDB,DXB,Dubai International,UAE,25.2532,55.3657,both
KDFW,DFW,Dallas/Fort Worth Intl,USA,32.8998,-97.0403,unknown
RJTT,HND,Tokyo Haneda,Japan,35.5494,139.7798,fuel_only
EGLL,LHR,London Heathrow,UK,51.47,-0.4543,both
KDEN,DEN,Denver International,USA,39.8561,-104.6737,unknown
KORD,ORD,Chicago O'Hare Intl,USA,41.9742,-87.9073,unknown
LTFM,IST,Istanbul Airport,Turkey,40.976,28.8146,both
ZSPD,PVG,Shanghai Pudong Intl,China,31.1443,121.8083,unknown
VIDP,DEL,Indira Gandhi Intl,India,28.5562,77.1,unknown
KATL,ATL,Hartsfield–Jackson Atlanta Intl,USA,33.6407,-84.4277,both
OMDB,DXB,Dubai International,UAE,25.2532,55.3657,both
KDFW,DFW,Dallas/Fort Worth Intl,USA,32.8998,-97.0403,unknown
RJTT,HND,Tokyo Haneda,Japan,35.5494,139.7798,fuel_only
EGLL,LHR,London Heathrow,UK,51.47,-0.4543,both
KDEN,DEN,Denver International,USA,39.8561,-104.6737,unknown
KORD,ORD,Chicago O'Hare Intl,USA,41.9742,-87.9073,unknown
LTFM,IST,Istanbul Airport,Turkey,40.976,28.8146,both
ZSPD,PVG,Shanghai Pudong Intl,China,31.1443,121.8083,unknown
VIDP,DEL,Indira Gandhi Intl,India,28.5562,77.1,unknown
KATL,ATL,Hartsfield–Jackson Atlanta Intl,USA,33.6407,-84.4277,both
OMDB,DXB,Dubai International,UAE,25.2532,55.3657,both
KDFW,DFW,Dallas/Fort Worth Intl,USA,32.8998,-97.0403,unknown
RJTT,HND,Tokyo Haneda,Japan,35.5494,139.7798,fuel_only
EGLL,LHR,London Heathrow,UK,51.47,-0.4543,both
KDEN,DEN,Denver International,USA,39.8561,-104.6737,unknown
KORD,ORD,Chicago O'Hare Intl,USA,41.9742,-87.9073,unknown
LTFM,IST,Istanbul Airport,Turkey,40.976,28.8146,both
ZSPD,PVG,Shanghai Pudong Intl,China,31.1443,121.8083,unknown
VIDP,DEL,Indira Gandhi Intl,India,28.5562,77.1,unknown
KATL,ATL,Hartsfield–Jackson Atlanta Intl,USA,33.6407,-84.4277,both
OMDB,DXB,Dubai International,UAE,25.2532,55.3657,both
KDFW,DFW,Dallas/Fort Worth Intl,USA,32.8998,-97.0403,unknown
RJTT,HND,Tokyo Haneda,Japan,35.5494,139.7798,fuel_only
EGLL,LHR,London Heathrow,UK,51.47,-0.4543,both
KDEN,DEN,Denver International,USA,39.8561,-104.6737,unknown
KORD,ORD,Chicago O'Hare Intl,USA,41.9742,-87.9073,unknown
LTFM,IST,Istanbul Airport,Turkey,40.976,28.8146,both
ZSPD,PVG,Shanghai Pudong Intl,China,31.1443,121.8083,unknown
VIDP,DEL,Indira Gandhi Intl,India,28.5562,77.1,unknown
KATL,ATL,Hartsfield–Jackson Atlanta Intl,USA,33.6407,-84.4277,both
OMDB,DXB,Dubai International,UAE,25.2532,55.3657,both
KDFW,DFW,Dallas/Fort Worth Intl,USA,32.8998,-97.0403,unknown
RJTT,HND,Tokyo Haneda,Japan,35.5494,139.7798,fuel_only
EGLL,LHR,London Heathrow,UK,51.47,-0.4543,both
KDEN,DEN,Denver International,USA,39.8561,-104.6737,unknown
KORD,ORD,Chicago O'Hare Intl,USA,41.9742,-87.9073,unknown
LTFM,IST,Istanbul Airport,Turkey,40.976,28.8146,both
ZSPD,PVG,Shanghai Pudong Intl,China,31.1443,121.8083,unknown
VIDP,DEL,Indira Gandhi Intl,India,28.5562,77.1,unknown
KATL,ATL,Hartsfield–Jackson Atlanta Intl,USA,33.6407,-84.4277,both
OMDB,DXB,Dubai International,UAE,25.2532,55.3657,both
KDFW,DFW,Dallas/Fort Worth Intl,USA,32.8998,-97.0403,unknown
RJTT,HND,Tokyo Haneda,Japan,35.5494,139.7798,fuel_only
EGLL,LHR,London Heathrow,UK,51.47,-0.4543,both
KDEN,DEN,Denver International,USA,39.8561,-104.6737,unknown
KORD,ORD,Chicago O'Hare Intl,USA,41.9742,-87.9073,unknown
LTFM,IST,Istanbul Airport,Turkey,40.976,28.8146,both
ZSPD,PVG,Shanghai Pudong Intl,China,31.1443,121.8083,unknown
VIDP,DEL,Indira Gandhi Intl,India,28.5562,77.1,unknown
KATL,ATL,Hartsfield–Jackson Atlanta Intl,USA,33.6407,-84.4277,both
OMDB,DXB,Dubai International,UAE,25.2532,55.3657,both
KDFW,DFW,Dallas/Fort Worth Intl,USA,32.8998,-97.0403,unknown
RJTT,HND,Tokyo Haneda,Japan,35.5494,139.7798,fuel_only
EGLL,LHR,London Heathrow,UK,51.47,-0.4543,both
KDEN,DEN,Denver International,USA,39.8561,-104.6737,unknown
KORD,ORD,Chicago O'Hare Intl,USA,41.9742,-87.9073,unknown
LTFM,IST,Istanbul Airport,Turkey,40.976,28.8146,both
ZSPD,PVG,Shanghai Pudong Intl,China,31.1443,121.8083,unknown
VIDP,DEL,Indira Gandhi Intl,India,28.5562,77.1,unknown
KATL,ATL,Hartsfield–Jackson Atlanta Intl,USA,33.6407,-84.4277,both
OMDB,DXB,Dubai International,UAE,25.2532,55.3657,both
KDFW,DFW,Dallas/Fort Worth Intl,USA,32.8998,-97.0403,unknown
RJTT,HND,Tokyo Haneda,Japan,35.5494,139.7798,fuel_only
EGLL,LHR,London Heathrow,UK,51.47,-0.4543,both
KDEN,DEN,Denver International,USA,39.8561,-104.6737,unknown
KORD,ORD,Chicago O'Hare Intl,USA,41.9742,-87.9073,unknown
LTFM,IST,Istanbul Airport,Turkey,40.976,28.8146,both
ZSPD,PVG,Shanghai Pudong Intl,China,31.1443,121.8083,unknown
VIDP,DEL,Indira Gandhi Intl,India,28.5562,77.1,unknown
KATL,ATL,Hartsfield–Jackson Atlanta Intl,USA,33.6407,-84.4277,both
OMDB,DXB,Dubai International,UAE,25.2532,55.3657,both
KDFW,DFW,Dallas/Fort Worth Intl,USA,32.8998,-97.0403,unknown
RJTT,HND,Tokyo Haneda,Japan,35.5494,139.7798,fuel_only
EGLL,LHR,London Heathrow,UK,51.47,-0.4543,both
KDEN,DEN,Denver International,USA,39.8561,-104.6737,unknown
KORD,ORD,Chicago O'Hare Intl,USA,41.9742,-87.9073,unknown
LTFM,IST,Istanbul Airport,Turkey,40.976,28.8146,both
ZSPD,PVG,Shanghai Pudong Intl,China,31.1443,121.8083,unknown
VIDP,DEL,Indira Gandhi Intl,India,28.5562,77.1,unknown
KATL,ATL,Hartsfield–Jackson Atlanta Intl,USA,33.6407,-84.4277,both
OMDB,DXB,Dubai International,UAE,25.2532,55.3657,both
KDFW,DFW,Dallas/Fort Worth Intl,USA,32.8998,-97.0403,unknown
RJTT,HND,Tokyo Haneda,Japan,35.5494,139.7798,fuel_only
EGLL,LHR,London Heathrow,UK,51.47,-0.4543,both
KDEN,DEN,Denver International,USA,39.8561,-104.6737,unknown
KORD,ORD,Chicago O'Hare Intl,USA,41.9742,-87.9073,unknown
LTFM,IST,Istanbul Airport,Turkey,40.976,28.8146,both
ZSPD,PVG,Shanghai Pudong Intl,China,31.1443,121.8083,unknown
VIDP,DEL,Indira Gandhi Intl,India,28.5562,77.1,unknown
KATL,ATL,Hartsfield–Jackson Atlanta Intl,USA,33.6407,-84.4277,both
OMDB,DXB,Dubai International,UAE,25.2532,55.3657,both
KDFW,DFW,Dallas/Fort Worth Intl,USA,32.8998,-97.0403,unknown
RJTT,HND,Tokyo Haneda,Japan,35.5494,139.7798,fuel_only
EGLL,LHR,London Heathrow,UK,51.47,-0.4543,both
KDEN,DEN,Denver International,USA,39.8561,-104.6737,unknown
KORD,ORD,Chicago O'Hare Intl,USA,41.9742,-87.9073,unknown
LTFM,IST,Istanbul Airport,Turkey,40.976,28.8146,both
ZSPD,PVG,Shanghai Pudong Intl,China,31.1443,121.8083,unknown
VIDP,DEL,Indira Gandhi Intl,India,28.5562,77.1,unknown
KATL,ATL,Hartsfield–Jackson Atlanta Intl,USA,33.6407,-84.4277,both
OMDB,DXB,Dubai International,UAE,25.2532,55.3657,both
KDFW,DFW,Dallas/Fort Worth Intl,USA,32.8998,-97.0403,unknown
RJTT,HND,Tokyo Haneda,Japan,35.5494,139.7798,fuel_only
EGLL,LHR,London Heathrow,UK,51.47,-0.4543,both
KDEN,DEN,Denver International,USA,39.8561,-104.6737,unknown
KORD,ORD,Chicago O'Hare Intl,USA,41.9742,-87.9073,unknown
LTFM,IST,Istanbul Airport,Turkey,40.976,28.8146,both
ZSPD,PVG,Shanghai Pudong Intl,China,31.1443,121.8083,unknown
VIDP,DEL,Indira Gandhi Intl,India,28.5562,77.1,unknown
KATL,ATL,Hartsfield–Jackson Atlanta Intl,USA,33.6407,-84.4277,both
OMDB,DXB,Dubai International,UAE,25.2532,55.3657,both
KDFW,DFW,Dallas/Fort Worth Intl,USA,32.8998,-97.0403,unknown
RJTT,HND,Tokyo Haneda,Japan,35.5494,139.7798,fuel_only
EGLL,LHR,London Heathrow,UK,51.47,-0.4543,both
KDEN,DEN,Denver International,USA,39.8561,-104.6737,unknown
KORD,ORD,Chicago O'Hare Intl,USA,41.9742,-87.9073,unknown
LTFM,IST,Istanbul Airport,Turkey,40.976,28.8146,both
ZSPD,PVG,Shanghai Pudong Intl,China,31.1443,121.8083,unknown
VIDP,DEL,Indira Gandhi Intl,India,28.5562,77.1,unknown
